Greece,1975,F,15,64,6.42,4.66,1.61,0.16,2954
Greece,1980,F,15,64,6.96,5.02,1.7,0.23,3142
Greece,1985,F,15,64,7.83,5.21,2.29,0.34,3284
Greece,1990,F,15,64,8.95,5.44,3.02,0.48,3425
Greece,1995,F,15,64,9.24,5.46,3.2,0.58,3625
Greece,2000,F,15,64,9.71,5.59,3.53,0.59,3722
Greece,2005,F,15,64,10.89,5.92,3.96,1.01,3719
Greece,2010,F,15,64,11.39,5.93,4.25,1.2,3749
Ireland,1870,F,15,64,0.82,0.82,0,0,1663
Ireland,1875,F,15,64,0.93,0.92,0,0,1621
Ireland,1880,F,15,64,1.05,1.04,0,0,1586
Ireland,1885,F,15,64,1.18,1.18,0.01,0,1534
Ireland,1890,F,15,64,1.33,1.32,0.01,0,1480
Ireland,1895,F,15,64,1.49,1.48,0.01,0,1459
Ireland,1900,F,15,64,1.66,1.64,0.02,0,1451
Ireland,1905,F,15,64,1.85,1.82,0.03,0,1378
Ireland,1910,F,15,64,2.34,2.24,0.09,0.01,1322
Ireland,1915,F,15,64,2.82,2.63,0.18,0.02,1288
Ireland,1920,F,15,64,3.32,3,0.3,0.03,1312
Ireland,1925,F,15,64,3.88,3.29,0.55,0.04,897
Ireland,1930,F,15,64,4.6,3.7,0.86,0.05,883
Ireland,1935,F,15,64,5.11,4.04,1.02,0.05,898
Ireland,1940,F,15,64,5.65,4.39,1.2,0.06,922
Ireland,1945,F,15,64,6.14,4.71,1.36,0.07,898
Ireland,1950,F,15,64,6.62,4.99,1.54,0.09,876
Ireland,1955,F,15,64,6.88,5.07,1.71,0.1,854
Ireland,1960,F,15,64,7.15,5.15,1.89,0.11,813
Ireland,1965,F,15,64,7.57,5.29,2.17,0.11,819
Ireland,1970,F,15,64,8.16,5.67,2.35,0.15,841
Ireland,1975,F,15,64,8.91,6.03,2.68,0.2,909
Ireland,1980,F,15,64,9.79,6.41,3.07,0.3,981
Ireland,1985,F,15,64,10.46,6.7,3.31,0.45,1043
Ireland,1990,F,15,64,10.76,6.62,3.53,0.61,1065
Ireland,1995,F,15,64,11,6.52,3.66,0.82,1156
Ireland,2000,F,15,64,11.23,6.46,3.82,0.95,1272
Ireland,2005,F,15,64,12.03,6.7,4.13,1.2,1423
Ireland,2010,F,15,64,12.65,6.85,4.23,1.57,1507
Italy,1870,F,15,64,0.65,0.65,0.01,0,8384
Italy,1875,F,15,64,0.74,0.74,0.01,0,8998
Italy,1880,F,15,64,0.88,0.87,0.01,0,8987
Italy,1885,F,15,64,1.04,1.03,0.01,0,9580
Italy,1890,F,15,64,1.2,1.19,0.01,0,9811
Italy,1895,F,15,64,1.36,1.34,0.02,0,10012
Italy,1900,F,15,64,1.57,1.51,0.05,0,9843
Italy,1905,F,15,64,1.76,1.68,0.08,0,10720
Italy,1910,F,15,64,1.82,1.74,0.08,0,10688
Italy,1915,F,15,64,2.09,1.97,0.12,0,11933
Italy,1920,F,15,64,2.36,2.2,0.16,0,12049
Italy,1925,F,15,64,2.64,2.44,0.2,0,12677
Italy,1930,F,15,64,2.89,2.66,0.22,0,13551
Italy,1935,F,15,64,3.1,2.81,0.28,0.01,13695
Italy,1940,F,15,64,3.39,3.03,0.34,0.01,14432
Italy,1945,F,15,64,3.78,3.32,0.44,0.01,15080
Italy,1950,F,15,64,4.05,3.53,0.5,0.02,15964
Italy,1955,F,15,64,4.34,3.67,0.64,0.02,16501
Italy,1960,F,15,64,4.7,3.87,0.8,0.03,16856
Italy,1965,F,15,64,5.06,4.04,0.97,0.04,17390
Italy,1970,F,15,64,5.5,4.23,1.23,0.05,17625
Italy,1975,F,15,64,6.07,4.34,1.66,0.08,17919
Italy,1980,F,15,64,6.75,4.44,2.22,0.09,18470
Italy,1985,F,15,64,7.33,4.48,2.71,0.14,19388
Italy,1990,F,15,64,8.1,4.59,3.31,0.2,19643
Italy,1995,F,15,64,8.88,4.67,3.94,0.28,19696
Italy,2000,F,15,64,9.64,4.78,4.55,0.32,19505
Italy,2005,F,15,64,10.13,4.84,4.92,0.37,19155
Italy,2010,F,15,64,10.75,4.9,5.38,0.47,18899
Japan,1870,F,15,64,0.44,0.44,0,0,10264
Japan,1875,F,15,64,0.51,0.5,0.01,0,10660
Japan,1880,F,15,64,0.58,0.57,0.01,0,11174
Japan,1885,F,15,64,0.66,0.65,0.01,0,11471
Japan,1890,F,15,64,0.55,0.53,0.01,0,11798
Japan,1895,F,15,64,1.33,1.12,0.21,0,12460
Japan,1900,F,15,64,1.58,1.3,0.28,0,13268
Japan,1905,F,15,64,1.75,1.47,0.28,0,14089
Japan,1910,F,15,64,1.78,1.66,0.12,0,14773
Japan,1915,F,15,64,2.25,2.09,0.15,0,15620
Japan,1920,F,15,64,2.99,2.65,0.33,0.01,16173
Japan,1925,F,15,64,3.8,3.31,0.48,0.02,17161
Japan,1930,F,15,64,4.36,3.72,0.62,0.02,18630
Japan,1935,F,15,64,4.91,4.09,0.79,0.03,20018
Japan,1940,F,15,64,5.36,4.41,0.92,0.03,21334
Japan,1945,F,15,64,5.89,4.71,1.14,0.04,24167
Japan,1950,F,15,64,6.23,5.04,1.15,0.04,25633
Japan,1955,F,15,64,6.75,5.21,1.49,0.05,28179
Japan,1960,F,15,64,7.21,5.36,1.8,0.05,30909
Japan,1965,F,15,64,7.4,5.44,1.91,0.04,34298
Japan,1970,F,15,64,7.92,5.52,2.29,0.1,36735
Japan,1975,F,15,64,8.51,5.59,2.72,0.2,38445
Japan,1980,F,15,64,9.26,5.68,3.26,0.33,39845
Japan,1985,F,15,64,9.92,5.74,3.67,0.51,41413
Japan,1990,F,15,64,10.56,5.8,4.1,0.66,42958
Japan,1995,F,15,64,11.2,5.87,4.52,0.81,43425
Japan,2000,F,15,64,11.78,5.9,4.89,0.99,43053
Japan,2005,F,15,64,12.19,5.93,5.12,1.14,42158
Japan,2010,F,15,64,12.57,5.95,5.34,1.27,40638
Luxembourg,1870,F,15,64,0.04,0.04,0,0,52
Luxembourg,1875,F,15,64,0.05,0.05,0,0,54
Luxembourg,1880,F,15,64,0.06,0.06,0,0,56
Luxembourg,1885,F,15,64,0.08,0.08,0,0,58
Luxembourg,1890,F,15,64,0.11,0.1,0,0,60
Luxembourg,1895,F,15,64,0.13,0.13,0,0,62
Luxembourg,1900,F,15,64,0.17,0.16,0,0,64
Luxembourg,1905,F,15,64,0.21,0.21,0,0,66
Luxembourg,1910,F,15,64,0.27,0.26,0,0,68
Luxembourg,1915,F,15,64,0.33,0.33,0,0,74
Luxembourg,1920,F,15,64,0.41,0.4,0,0,76
Luxembourg,1925,F,15,64,0.47,0.47,0,0,86
Luxembourg,1930,F,15,64,0.54,0.54,0,0,97
Luxembourg,1935,F,15,64,1.29,1.16,0.12,0.01,98
Luxembourg,1940,F,15,64,1.99,1.74,0.24,0.01,103
Luxembourg,1945,F,15,64,2.59,2.21,0.36,0.01,103
Luxembourg,1950,F,15,64,3.53,2.93,0.57,0.03,104
Luxembourg,1955,F,15,64,4.19,3.4,0.75,0.04,106
Luxembourg,1960,F,15,64,4.74,3.74,0.94,0.06,107
Luxembourg,1965,F,15,64,5.64,4.33,1.23,0.08,108
Luxembourg,1970,F,15,64,6.63,4.93,1.58,0.12,112
Luxembourg,1975,F,15,64,7.6,5.41,2.02,0.17,116
Luxembourg,1980,F,15,64,8.02,5.44,2.36,0.22,123
Luxembourg,1985,F,15,64,8.34,5.44,2.64,0.26,129
Luxembourg,1990,F,15,64,8.85,5.46,3.05,0.34,130
