1392-1,Kongu [McDonald's Promo Set #5],2001,Bionicle,9
1393-1,Matoro [McDonald's Promo Set #6],2001,Bionicle,11
1413-1,Rover,2001,Space,29
1414-1,Double Hover (Kabaya Promotional),2001,Space,23
1415-1,Jet Scooter,2001,Space,24
1416-1,Worker Robot,2001,Space,30
1417-1,Vakama,2001,Bionicle,28
1417-2,Vakama (bagged),2003,Bionicle,28
1418-1,Matau,2001,Bionicle,25
1419-1,Nokama (Kabaya Promotional),2001,Bionicle,27
1420-1,Nuju,2001,Bionicle,29
1431-1,Tahnok Va (Kabaya Promotional),2002,Bionicle,27
1432-1,Nuhvok Va (Kabaya Promotional),2002,Bionicle,26
1433-1,Gahlok Va (Kabaya Promotional),2002,Bionicle,26
1434-1,Lehvak Va (Kabaya Promotional),2002,Bionicle,25
1441-1,Fikou (Tree-Spider),2003,Bionicle,13
1462-1,Galactic Scout,1992,Space,23
1478-1,Mobile Satellite Up-Link,1991,Space,31
1479-1,2-Pilot Craft,1991,Space,34
1498-1,Spy-Bot,1987,Space,63
1499-1,Twin Starfire,1987,Space,89
1507-1,Space Value Pack,1986,Space,19
1510-1,Space Value Pack,1987,Space,19
1512-1,Denken mit Lego (Thinking with Lego 250pcs),1972,Educational,250
1513-1,Denken mit Lego (Thinking with Lego 900pcs),1972,Educational,901
1526-1,Space Radar Buggy,1986,Space,105
1544-1,Duplo Medium Bucket,1988,Duplo,57
1545-1,Build-A-Rabbit,1992,Seasonal,29
1549-1,Santa and Chimney,1992,Seasonal,62
1551-1,Chick,1985,Seasonal,14
1555-1,Santa Claus,1986,Seasonal,19
1556-1,Christmas Hearts,1986,Seasonal,16
1557-1,Scooter,1986,Space,26
1558-1,Mobile Command Trailer,1986,Space,68
1580-1,Lunar Scout,1986,Space,70
1593-1,Super Model,1983,Space,314
1616-1,Space Combi-Pack,1989,Space,19
1620-1,Astro Dart,1990,Space,30
1621-1,Lunar MPV Vehicle,1990,Space,96
1625-1,Snowman,1989,Seasonal,40
1626-1,Angel,1989,Seasonal,33
1627-1,Santa,1989,Seasonal,36
1628-1,Santa on Sleigh with Reindeer,1989,Seasonal,63
1677-1,Rabbit,1990,Seasonal,25
